v_gene,phi_S_n,phi_A_n,phi_R_n
IGHV1-2,0.08911884606090772,0.11890852374394999,0.46734657949495123
IGHV1-2,0.19300669403514387,0.053306032556634346,0.5493773086172301
IGHV1-2,0.2462760678393136,0.04388810642886791,0.4931782709204526
IGHV1-2,0.008962368064184496,0.23777493472362723,0.43679151666079424
IGHV1-2,0.1988133278842878,0.06362205315268774,0.5234081330718732
IGHV1-2,0.0,0.31271645008661253,0.4892392199043262
IGHV1-2,0.0922745802759483,0.08777357956135062,0.46130441278199785
IGHV1-2,0.16031295599344647,0.07502568358755965,0.5596290461545139
IGHV1-2,0.22835133171094463,0.06362205315268774,0.5046100464977704
IGHV1-2,0.2642008039676826,0.02720287761399007,0.48488958797512655
IGHV1-2,0.18934612523916608,0.16278609890879728,0.3587419688097132
IGHV1-2,0.24312033362427304,0.06362205315268774,0.46926388984966294
IGHV1-2,0.27215350286999257,0.13863931107322508,0.3355305122554302
IGHV1-2,0.12130774952166791,0.19391314685253516,0.27425283196305345
IGHV1-2,0.18353949139002215,0.13863931107322508,0.3705249308582845
IGHV1-2,0.1750819579067749,0.07502568358755965,0.47724929946886147
IGHV1-2,0.017924736128368993,0.19391314685253516,0.6223724733071562
IGHV1-2,0.1956575936692472,0.08777357956135062,0.35060725498223094
IGHV1-2,0.035849472256737985,0.13863931107322508,0.5018924819944219
IGHV1-2,0.19250185945420664,0.11890852374394999,0.3559744256842939
IGHV1-2,0.06223174186835425,0.19391314685253516,0.40553409324445966
IGHV1-2,0.24892696747341694,0.07502568358755965,0.40039845431948085
IGHV1-2,0.017924736128368993,0.19391314685253516,0.575430719721424
IGHV1-2,0.02953800382665683,0.31271645008661253,0.39810576827687805
IGHV1-2,0.08911884606090772,0.11890852374394999,0.45807183888986736
IGHV1-2,0.0416561061058819,0.16278609890879728,0.4190171395376574
IGHV1-2,0.06223174186835425,0.19391314685253516,0.3921080972497101
IGHV1-2,0.07434984414757932,0.11890852374394999,0.49423552671105014
IGHV1-2,0.23415796556008855,0.07502568358755965,0.4451835364607997
IGHV1-2,0.16927532405763096,0.06362205315268774,0.5687666902796856
IGHV1-2,0.0,0.31271645008661253,0.4726488845549169
IGHV1-2,0.31696534319091507,0.06362205315268774,0.3984410815697071
IGHV1-2,0.0,0.31271645008661253,0.4661781594342768
IGHV1-2,0.017924736128368993,0.19391314685253516,0.5501236066118116
IGHV1-2,0.1423882198650775,0.10222555180886596,0.4198562620232954
IGHV1-2,0.14869968829515864,0.053306032556634346,0.6160567210360743
IGHV1-2,0.06223174186835425,0.19391314685253516,0.3328150804795225
IGHV1-2,0.16927532405763096,0.06362205315268774,0.5326282353202605
IGHV1-2,0.2726583374509299,0.06362205315268774,0.43837847950273123
IGHV1-2,0.1687704894766937,0.13863931107322508,0.3726835697122268
