isotype,phi_S_n,phi_A_n,phi_R_n
IgA,0.017924736128368993,0.19391314685253516,0.41066875167732125
IgA,0.008962368064184496,0.23777493472362723,0.6145939095892666
IgA,0.0,0.31271645008661253,0.48613209669665647
IgA,0.02688710419255349,0.16278609890879728,0.4709939471181331
IgA,0.050618474170066395,0.13863931107322508,0.4316901079965925
IgA,0.1988133278842878,0.26190751803610074,0.12473768983418827
IgA,0.008962368064184496,0.23777493472362723,0.5934821095042836
IgA,0.053774208385106985,0.10222555180886596,0.748116831815859
IgA,0.008962368064184496,0.23777493472362723,0.4597459418586268
IgA,0.18353949139002215,0.367889419361687,0.12313417603195735
IgA,0.035849472256737985,0.13863931107322508,0.5009166244748674
IgA,0.33804581353432467,0.02720287761399007,0.39014590435483393
IgA,0.0,0.31271645008661253,0.47042091227203875
IgA,0.0,0.31271645008661253,0.3661967982668386
IgA,0.06273657644929148,0.08777357956135062,0.5987741743516014
IgA,0.044811840320922475,0.11890852374394999,0.6925936552779629
IgA,0.008962368064184496,0.23777493472362723,0.43679151666079424
IgA,0.0416561061058819,0.16278609890879728,0.3063838863724594
IgA,0.08911884606090772,0.11890852374394999,0.2983080426562861
IgA,0.20146422751839113,0.10222555180886596,0.23204981625864635
IgA,0.20727086136753506,0.11890852374394999,0.18444837527819427
IgA,0.008962368064184496,0.23777493472362723,0.3922227405795497
IgA,0.0,0.31271645008661253,0.3365946107221965
IgA,0.02688710419255349,0.16278609890879728,0.4476763823961749
IgA,0.32327681162099625,0.02720287761399007,0.41063848492158483
IgA,0.02373136997751291,0.23777493472362723,0.2588201922978611
IgA,0.06854321029843541,0.10222555180886596,0.4214455610782736
IgA,0.0775055783626199,0.08777357956135062,0.42282186232791336
IgA,0.06854321029843541,0.10222555180886596,0.3236948919601718
IgA,0.0595808422342509,0.11890852374394999,0.3460992330603398
IgA,0.7135823297976163,0.0,0.5589307001810815
IgA,0.13973732023097413,0.06362205315268774,0.3600507334062492
IgA,0.044811840320922475,0.11890852374394999,0.6438205162382612
IgA,0.13342585180089298,0.11890852374394999,0.19574619734173745
IgA,0.181393426336856,0.035224348284423,0.6722675418198142
IgA,0.017924736128368993,0.19391314685253516,0.2694995569874759
IgA,0.30270117585852396,0.019735000080812835,0.6099543252526802
IgA,0.0,1.0,0.29961629804844186
