v_gene,n,mean_alpha,mean_beta,mean_gamma,std_alpha,std_beta,std_gamma,lambda_S,lambda_R,r2,n_right,lambda_S_ep,lambda_R_ep,r2_ep,n_ep,R_AID,density_cdr,density_fwr,n_front,pct_front,hv2d_proxy,mean_phi_S,mean_phi_A,mean_phi_R
IGHV1-58,2812,0.9231153797989395,0.03355133854153527,0.043333281659525096,0.07916993261917395,0.06110888614562958,0.04544778197215716,0.0,0.1139850093878404,0.002668182146925213,2812,0.0,0.12028082762414744,0.003128892942892314,102,0.22857142857142854,0.023809523809523808,0.10416666666666667,36,1.2802275960170697,0.4451514560825669,0.11520305108180648,0.17276736570683013,0.5837180607660883
IGHV2-70D,2675,0.9172497944745821,0.07959773662814322,0.003152468897274796,0.1060479699572419,0.10507080926554137,0.012699349612572668,0.0,0.016449668274686937,0.000027803113175073335,2675,0.0,0.2815416982102082,0.00863471123891102,141,0.5714285714285714,0.03571428571428571,0.0625,26,0.9719626168224299,0.3824092918183601,0.07908352517539909,0.2651611947517541,0.4420566637385738
IGHV3-20,2513,0.9025256521119476,0.05461463639992473,0.04285971148812784,0.09523700538138802,0.08001067983084582,0.04405375902676492,0.0,0.0,0.0,2513,0.0,0.0,0.0,104,0.2857142857142857,0.023809523809523808,0.08333333333333333,43,1.7111022682053323,0.6767872071066141,0.13568627672397748,0.17353599412018364,0.5915754093478526
IGHV3-64,2117,0.9474339357710099,0.047602620582102476,0.004963443646887669,0.09894121723463903,0.09609846128761487,0.014207034381166337,0.023578221890350807,0.0,0.01895526754759136,2117,0.027035884521415723,0.0,0.035381411937906004,108,0.54421768707483,0.047619047619047616,0.0875,38,1.7949929145016532,0.5516840009265634,0.10283482493124528,0.18094077779249107,0.47067617889586294
IGHV4-30-4,1445,0.9405674110221667,0.03245974444155705,0.026972844536276422,0.07560628364285216,0.05477156593005865,0.03914554393965123,0.0,0.0,0.0,1445,0.003995617773088254,0.0,0.004163218408462788,33,0.37267080745341613,0.03571428571428571,0.09583333333333334,33,2.283737024221453,0.529609525036708,0.1570348376375726,0.18210746194426386,0.5647895689744449
IGHV1-69-2,787,0.884284003935396,0.036925999175392146,0.07878999688921184,0.09309185291857505,0.06370629421649185,0.054724522717914954,,,,,0.018701239420900243,0.0,0.027555761237698095,27,0.1020408163265306,0.011904761904761904,0.11666666666666667,,,,,,
IGHV3-43D,658,0.8918060924333365,0.049773431607762514,0.05842047595890088,0.0923693275303959,0.07331369738752795,0.04702491546779286,,,,,0.0,0.0,0.0,39,0.12987012987012989,0.011904761904761904,0.09166666666666666,,,,,,
IGHV4-30-2,449,0.9358657350508531,0.048455231427644664,0.015679033521502222,0.09105007559532097,0.0803678691675621,0.033362450631423034,,,,,,,,,0.40816326530612246,0.03571428571428571,0.0875,,,,,,
IGHV4-28,401,0.9510504806883957,0.04706185516038359,0.001887664151220674,0.07399413736410462,0.07382776665076694,0.008143043349949922,,,,,0.01695835449775984,0.0,0.033251278948806196,27,0.42857142857142855,0.03571428571428571,0.08333333333333333,,,,,,
IGHV1-45,184,0.9680250668108591,0.02993619741278888,0.002038735776351965,0.04053166391678588,0.03409105244894701,0.011845432558087968,,,,,0.0,0.0,0.0,22,0.11904761904761904,0.011904761904761904,0.1,,,,,,
IGHV3-69-1,144,0.9422618449188975,0.04736698139844461,0.010371173682657768,0.08271381471005297,0.07646413261175292,0.026008015874869325,,,,,,,,,0.22857142857142854,0.023809523809523808,0.10416666666666667,,,,,,
IGHV3-NL1,116,0.9625448166861638,0.03525042167060506,0.002204761643231018,0.028911923267987995,0.029344121930102583,0.00504058749838562,,,,,,,,,0.54421768707483,0.047619047619047616,0.0875,,,,,,
