v_gene:0,mean_phi_R_naive,std_phi_R_naive,n_naive,mean_phi_R_memory,std_phi_R_memory,n_memory,mean_phi_R_IgG,n_IgG,delta_phi_R,delta_phi_R_IgG,is_ighv434
IGHV4-31,0.4927215087275003,0.4441814018128484,45248,0.33250579079634807,0.40529786691413083,26320,0.33502484601536836,5750,-0.16021571793115225,-0.15769666271213195,false
IGHV3-30-3,0.6327925965922423,0.45135246372005655,14255,0.4740576407678366,0.3891079229124179,7037,0.4794603646386772,1415,-0.15873495582440572,-0.1533322319535651,false
IGHV2-70D,-0.3200647939998665,0.39624018479802825,2095,-0.477451612019188,0.3751773326369146,2786,-0.34860053287901904,376,-0.15738681801932153,-0.02853573887915256,false
IGHV4-34,1.1279400942234792,0.5006447533370917,92432,0.9732094659315693,0.489182618032563,27985,0.9824969746672876,4591,-0.15473062829190987,-0.1454431195561916,true
IGHV5-51,-0.07836501049185612,0.4410557796301373,127022,-0.22913248522880605,0.4158453656688997,127440,-0.2470042992142799,18481,-0.15076747473694993,-0.16863928872242379,false
IGHV2-5,-0.08692937782219379,0.4492173571039784,41595,-0.2366257577930336,0.42598620968397216,41353,-0.22094941146002672,6375,-0.14969637997083982,-0.13402003363783294,false
IGHV1-2,-0.09314785422277191,0.45612142359699875,80037,-0.2298505841856278,0.432756927359398,81477,-0.2913846338344554,13297,-0.13670272996285587,-0.19823677961168348,false
IGHV1-69,1.348585402433787,0.4496074265225527,193146,1.2193064939993152,0.4145128339987502,47637,1.1659719740089733,20591,-0.12927890843447187,-0.18261342842481376,false
IGHV3-73,-0.16610491045296136,0.510586411963927,5006,-0.28358432401962885,0.38947875385101477,5731,-0.37220887542789305,894,-0.1174794135666675,-0.2061039649749317,false
IGHV2-26,1.0595841153166667,0.44288468331404696,22419,0.9716635048681175,0.42679000027002567,7259,0.9753044339548305,1430,-0.08792061044854926,-0.08427968136183628,false
IGHV3-13,-0.21504143076370671,0.42299505779164287,6073,-0.30274364647205226,0.38420772847359685,6692,-0.28355984862906636,891,-0.08770221570834555,-0.06851841786535964,false
