lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
card_spider_true_knee_garlic_wall_spell_deliver,IGHV3-33,09,0.0,0.36583710984742374,0.014746175453609789,6
card_sure_dial_amount_foot_key_happy_brief,IGHV5-51,07,0.1428684129985055,0.87815771709362,0.12254447953378844,7
carpet_hedgehog_vessel_label_cycle_borrow_hedgehog_wait,IGHV3-15,02,0.005338248948681926,0.0,-0.3103552907892204,4
case_fix_tilt_about_syrup_cattle_fatigue_frame,IGHV3-13,04,0.14050819577405987,0.8207011335775856,0.03548461818278892,4
case_love_leg_creek_other_regret_wasp_roof,IGHV1-46,01,0.06825507457127286,0.0,0.054997893908529716,6
cash_odor_live_until_debris_nerve_ocean_blanket,IGHV3-23,07,0.06835773234973071,6.336718704775748,0.9008807982170592,6
catch_hill_enlist_citizen_expect_chat_usual_that,IGHV3-74,02,0.12793826936476438,0.0,0.09865435022534053,5
category_plunge_green_icon_estate_gossip_abandon_combine,IGHV4-4,02,0.0,0.0,-0.0017138153525901867,4
caught_glue_beach_develop_claw_erosion_heart_follow,IGHV3-7,10,0.0,0.07262908423714544,-0.004332060172832941,12
cause_give_dune_mercy_rail_network_guide_sock,IGHV3-74,11,7.495058788226208e-17,13.876206180613991,1.0,4
cement_crew_rigid_woman_cute_tattoo_ask_tool,IGHV3-53,02,0.0,1.2096954262028845,1.0,4
century_mimic_visa_tiger_slow_divorce_allow_bracket,IGHV3-23,02,0.0,2.568590474531479,0.4053958944046451,5
certain_bind_spawn_snake_couch_famous_name_axis,IGHV4-39,07,0.06466830922511531,0.0,0.05221058310660498,5
chair_stock_maximum_planet_base_velvet_glass_vault,IGHV3-9,02,0.0,0.0,-0.02987598021892124,4
chair_stool_practice_depart_soup_expose_rug_visual,IGHV5-51,05,0.0,0.004091959259567721,-0.0030683296236753144,6
champion_knife_volcano_embrace_write_flight_filter_increase,IGHV3-74,07,0.24399291275938353,0.06991677075375528,0.12879281508067275,5
change_rabbit_youth_sunset_heart_auto_laundry_pulse,IGHV4-NL1,04,0.0,2.2820200562324806,-0.17931728893381949,7
charge_tower_heavy_daughter_play_define_toast_choose,IGHV3-21,07,0.0,2.5919255831487558,0.548960210091846,4
chat_welcome_just_viable_clump_almost_prevent_laugh,IGHV1-8,02,0.0,7.456084368842818,-0.1226599785057716,4
cheap_purity_girl_buddy_easily_essence_swim_rather,IGHV3-48,11,0.0,0.0,-0.08894421499963245,4
check_course_regret_confirm_artist_shiver_country_banana,IGHV3-74,10,0.0,0.0,-0.000225915765775353,6
check_spatial_photo_life_marble_sister_capital_patrol,IGHV5-51,11,0.0,0.0,-0.11083635162148742,5
check_width_often_rigid_talent_diagram_confirm_veteran,IGHV1-8,01,0.5216188961622841,0.0,0.04847055808263678,6
chest_crater_lucky_alpha_expand_riot_trade_wish,IGHV1-3,07,0.0,0.0,-0.0017988249361615694,8
chicken_equip_merit_vote_unlock_pet_tongue_polar,IGHV3-30,06,0.21148186712791575,0.9444714985869987,0.10230343506000295,11
